value,description,value_rcl,description_rcl
1,B91,1,B91
2,F91,2,F91
3,L92,3,L92
4,M72,4,M72
5,R91,5,R91
6,A41,6,A41
7,A51,7,A51
8,A71,8,A71
9,B11,9,B11
10,B13,10,B13
11,B14,11,B14
12,B15,12,B15
13,B16,13,B16
14,B42,14,B42
15,B51,15,B51
16,B57,16,B57
17,N91,17,N91
18,N92,18,N92
19,N11,19,N11
20,B41,20,B41
21,B58,21,B58
22,B59,22,B59
23,B92,23,B92
24,L53,24,L53
25,L54,25,L54
26,L91,26,L91
27,A42,27,A42
28,B31,28,B31
29,M42,29,M42
30,M44,30,M44
31,M46,31,M46
32,M62,32,M62
33,M78,33,M78
34,M79,34,M79
35,M81,35,M81
36,M82,36,M82
37,M84,37,M84
38,M92,38,M92
39,M93,39,M93
40,R23,40,R23
41,R42,41,R42
42,R43,42,R43
43,R21,43,R21
44,R41,44,R41
45,R44,45,R44
46,R45,46,R45
47,R46,47,R46
48,R71,48,R71
49,B44,49,B44
50,B47,50,B47
51,B72,51,B72
52,L61,52,L61
53,M11,53,M11
54,M12,54,M12
55,M21,55,M21
56,M31,56,M31
57,M41,57,M41
58,M43,58,M43
59,M45,59,M45
60,M47,60,M47
61,M48,61,M48
62,M51,62,M51
63,M52,63,M52
64,M53,64,M53
65,M54,65,M54
66,M61,66,M61
67,M71,67,M71
68,M73,68,M73
69,M74,69,M74
70,M75,70,M75
71,M76,71,M76
72,M77,72,M77
73,M83,73,M83
74,M91,74,M91
75,N94,75,N94
76,R22,76,R22
77,B43,77,B43
78,B45,78,B45
79,B46,79,B46
80,B52,80,B52
81,B53,81,B53
82,B54,82,B54
83,B55,83,B55
84,B56,84,B56
85,G41,85,G41
86,B61,86,B61
87,B71,87,B71
88,B73,88,B73
89,B74,89,B74
90,B75,90,B75
91,B76,91,B76
92,B77,92,B77
93,B81,93,B81
94,B82,94,B82
95,E41,95,E41
96,E44,96,E44
97,F11,97,F11
98,F12,98,F12
99,F41,99,F41
100,F51,100,F51
101,F81,101,F81
102,G21,102,G21
103,H01,103,H01
104,H32,104,H32
105,H33,105,H33
106,H42,106,H42
107,H43,107,H43
108,H44,108,H44
109,H52,109,H52
110,H61,110,H61
111,H71,111,H71
112,L11,112,L11
113,L21,113,L21
114,L31,114,L31
115,L41,115,L41
116,L42,116,L42
117,L43,117,L43
118,L51,118,L51
119,L52,119,L52
120,L71,120,L71
121,L72,121,L72
122,L73,122,L73
123,L74,123,L74
124,L75,124,L75
125,L76,125,L76
126,L81,126,L81
127,N21,127,N21
128,N71,128,N71
129,N41,129,N41
130,N51,130,N51
131,N72,131,N72
132,N93,132,N93
133,E11,133,E11
134,F01,134,F01
135,F71,135,F71
136,H11,136,H11
137,H13,137,H13
138,H21,138,H21
139,H31,139,H31
140,H41,140,H41
141,H51,141,H51
142,N31,142,N31
143,E42,143,E42
144,E43,144,E43
145,F31,145,F31
146,G11,146,G11
147,H12,147,H12
148,E01,148,E01
149,E21,149,E21
150,E32,150,E32
151,D11,151,D11
152,D32,152,D32
153,D41,153,D41
154,E31,154,E31
155,D31,155,D31
0,unknown,156,Unknown
