value,description,value_rcl,description_rcl
1,0B91,1,0B91
2,0F91,2,0F91
3,0L92,3,0L92
4,0M72,4,0M72
5,28R91,5,28R91
6,0R91,6,0R91
7,12A41yl,7,12A41yl
8,12A51,8,12A51
9,12A71,9,12A71
10,12B11,10,12B11
11,12B11dl,11,12B11dl
12,12B11ydl,12,12B11ydl
13,12B13,13,12B13
14,12B13ydc,14,12B13ydc
15,12B13ydl,15,12B13ydl
16,12B14,16,12B14
17,12B15,17,12B15
18,12B16,18,12B16
19,12B42yl,19,12B42yl
20,12B51,20,12B51
21,12B57yov,21,12B57yov
22,12N91,22,12N91
23,12N92,23,12N92
24,13A41yl,24,13A41yl
25,13A51,25,13A51
26,13B11,26,13B11
27,13B11dl,27,13B11dl
28,13B11ydl,28,13B11ydl
29,13B15,29,13B15
30,13N11,30,13N11
31,14A41yl,31,14A41yl
32,14B41yd,32,14B41yd
33,14B58,33,14B58
34,14B59,34,14B59
35,14B92,35,14B92
36,14L53,36,14L53
37,14L54,37,14L54
38,14L54D,38,14L54D
39,14L91,39,14L91
40,14N91,40,14N91
41,15A41yl,41,15A41yl
42,15A42yl,42,15A42yl
43,15B31yl,43,15B31yl
44,15B58,44,15B58
45,15B59,45,15B59
46,15B92,46,15B92
47,15L53,47,15L53
48,15L54,48,15L54
49,15N91,49,15N91
50,16B11,50,16B11
51,16B11dl,51,16B11dl
52,16B11x,52,16B11x
53,16B13ydc,53,16B13ydc
54,17A51,54,17A51
55,17B11,55,17B11
56,17B11dl,56,17B11dl
57,18A41yl,57,18A41yl
58,18A42yl,58,18A42yl
59,18B31yl,59,18B31yl
60,18B92,60,18B92
61,18L53,61,18L53
62,19A41yl,62,19A41yl
63,19A42yl,63,19A42yl
64,19B92,64,19B92
65,20A41yl,65,20A41yl
66,1M42yd,66,1M42yd
67,1M42yoV,67,1M42yoV
68,1M44,68,1M44
69,1M46,69,1M46
70,1M62,70,1M62
71,1M72,71,1M72
72,1M78ysD,72,1M78ysD
73,1M79H,73,1M79H
