value,description,value_rcl,description_rcl
0,??,12,Other
1,"B Geisoleerde heuvels, heuvelruggen en dijken",1,"Geisoleerde heuvels, heuvelruggen en dijken (B)"
2,F Plateau-achtige vormen,2,Plateau-achtige vormen (F)
3,L Heuvels en heuvelruggen met bijbehorende vlakten en laagten,3,Heuvels en heuvelruggen met bijbehorende vlakten en laagten (L)
4,M Vlakten,4,Vlakten (M)
5,R Dalen,5,Dalen (R)
6,A Wanden,6,Wanden (A)
7,N Niet- dalvormige laagten,7,Niet- dalvormige laagten (N)
8,G Waaiervormige glooingen,8,Waaiervormige glooingen (G)
9,E Terrasvormen,9,Terrasvormen (E)
10,H Niet-waaiervormige glooiingen,10,Niet-waaiervormige glooiingen (H)
11,D Plateaus,11,Plateaus (D)
