value,description,value_rcl,description_rcl
1,1,1,1
2,2,2,2
3,3,3,3
4,4,4,4
5,5,5,5
6,6,6,6
7,7,7,7
8,8,8,8
9,9,9,9
10,10,10,10
11,11,11,11
12,12,12,12
13,13,13,13
14,14,14,14
15,15,15,15
16,16,16,16
17,17,17,17
18,18,18,18
19,19,19,19
20,20,20,20
21,21,21,21
22,22,22,22
23,23,23,23
25,25,25,25
26,26,26,26
32,32,32,32
33,33,33,33
35,35,35,35
36,36,36,36
38,38,50,Other
42,42,42,42
43,43,43,43
46,46,50,Other
0,Relief onbekend,50,Other
27,27,50,Other
28,28,50,Other
37,37,50,Other
