value,description,value_rcl,description_rcl
0,Western strip of raster no longer NL,,
1,Riviervlakte en beekdalen,1,Riviervlakte en beekdalen
2,"Pleistocene zandgebieden, beneden 16 en 0 m. -NAP",2,"Pleistocene zandgebieden, beneden 16 en 0 m. -NAP"
3,"Pleistocene zandgebieden, boven 0 m. NAP",3,"Pleistocene zandgebieden, boven 0 m. NAP"
4,Strandwallen en lage duinen,4,Strandwallen en lage duinen
5,Wadden en slikken,5,Wadden en slikken
6,Bedijkte kwelders en riviervlakten,6,Bedijkte kwelders en riviervlakten
7,Kwelders en riviervlakten,7,Kwelders en riviervlakten
8,Stedelijk gebied,6,Bedijkte kwelders en riviervlakten
9,Veengebied,9,Veengebied
10,Rivierduinen,10,Rivierduinen
11,Buitenland,,
12,Hoge duinen,12,Hoge duinen
13,Binnenwater,30,Water
14,Strandvlakten en duinvalleien,14,Strandvlakten en duinvalleien
16,Loessgebied,16,Loessgebied
17,Gebieden met Tertiaire en oudere afzettingen,17,Gebieden met Tertiaire en oudere afzettingen
18,"Stuwwallen, gestuwde keileem en door stromend landijs gemodelleerde ruggen en dalen",18,"Stuwwallen, gestuwde keileem en door stromend landijs gemodelleerde ruggen en dalen"
19,Buitenwater,30,Water
20,Gebieden met kwelderwallen en -ruggen,20,Gebieden met kwelderwallen en -ruggen
