OID,Value,Count,omschrijvi
0,1,2011144.000000000000000,Riviervlakte en beekdalen
1,2,96268.000000000000000,"Pleistocene zandgebieden, beneden 16 en 0 m. -NAP"
2,3,14157021.000000000000000,"Pleistocene zandgebieden, boven 0 m. NAP"
3,4,908734.000000000000000,Strandwallen en lage duinen
4,5,4817529.000000000000000,Wadden en slikken
5,6,4394930.000000000000000,Kwelders en riviervlakten
6,7,33115552.000000000000000,Veengebied
7,8,358178.000000000000000,Rivierduinen
8,9,1967541.000000000000000,Binnenwater
9,10,247741.000000000000000,Strandvlakten en duinvalleien
10,11,463710.000000000000000,Lössgebied
11,12,285077.000000000000000,Gebieden met Tertiaire en oudere afzettingen
12,13,31320490.000000000000000,Buitenwater
13,14,2370609.000000000000000,"Stuwwallen, gestuwde keileem en door stromend landijs gemodelleerde ruggen en dalen"
14,15,39416925.000000000000000,Buitenland
