value,description,value_rcl,description_rcl
0,Western strip of raster no longer NL,,
1,Riviervlakte en beekdalen,1,Riviervlakte en beekdalen
2,"Pleistocene zandgebieden, beneden 16 en 0 m. -NAP",2,"Pleistocene zandgebieden, beneden 16 en 0 m. -NAP"
3,"Pleistocene zandgebieden, boven 0 m. NAP",3,"Pleistocene zandgebieden, boven 0 m. NAP"
4,Strandwallen en lage duinen,4,Strandwallen en lage duinen
5,Wadden en slikken,5,Wadden en slikken
6,Kwelders en riviervlakten,6,Kwelders en riviervlakten
7,Veengebied,7,Veengebied
8,Rivierduinen,8,Rivierduinen
9,Binnenwater,30,Water
10,Strandvlakten en duinvalleien,10,Strandvlakten en duinvalleien
11,Loessgebied,11,Loessgebied
12,Gebieden met Tertiaire en oudere afzettingen,12,Gebieden met Tertiaire en oudere afzettingen
13,Buitenwater,30,Water
14,"Stuwwallen, gestuwde keileem en door stromend landijs gemodelleerde ruggen en dalen",14,"Stuwwallen, gestuwde keileem en door stromend landijs gemodelleerde ruggen en dalen"
15,Buitenland,,
