OID,Value,Count,omschrijvi
0,1,2466672.000000000000000,Riviervlakte en beekdalen
1,2,370121.000000000000000,"Pleistocene zandgebieden, beneden 16 en 0 m. -NAP"
2,3,16210595.000000000000000,"Pleistocene zandgebieden, boven 0 m. NAP"
3,4,410116.000000000000000,Strandwallen en lage duinen
4,5,4023666.000000000000000,Wadden en slikken
5,6,15399271.000000000000000,Bedijkte kwelders en riviervlakten
6,7,1153151.000000000000000,Kwelders en riviervlakten
7,8,90907.000000000000000,Stedelijk gebied
8,9,808616.000000000000000,Stuifzand
9,10,8981368.000000000000000,Veengebied
10,11,291049.000000000000000,Rivierduinen
11,12,539541.000000000000000,Hoge duinen
12,14,1336065.000000000000000,Droogmakerij
13,15,175025.000000000000000,Strandvlakten en duinvalleien
14,16,825825.000000000000000,Binnenwater
15,17,39416878.000000000000000,Buitenland
16,18,463109.000000000000000,Lössgebied
17,19,295005.000000000000000,Gebieden met Tertiaire en oudere afzettingen
18,20,2300640.000000000000000,"Stuwwallen, gestuwde keileem en door stromend landijs gemodelleerde ruggen en dalen"
19,21,40361094.000000000000000,Buitenwater
20,22,12733.000000000000000,Gebieden met kwelderwallen en -ruggen
