value,description,value_rcl,description_rcl
0,Western strip of raster no longer NL,,
1,Riviervlakte en beekdalen,1,Riviervlakte en beekdalen
2,"Pleistocene zandgebieden, beneden 16 en 0 m. -NAP",2,"Pleistocene zandgebieden, beneden 16 en 0 m. -NAP"
3,"Pleistocene zandgebieden, boven 0 m. NAP",3,"Pleistocene zandgebieden, boven 0 m. NAP"
4,Rivierduinen,4,Rivierduinen
5,Kwelders en riviervlakten,5,Kwelders en riviervlakten
6,Veengebied,6,Veengebied
7,Strandwallen en lage duinen,7,Strandwallen en lage duinen
8,Wadden en slikken,8,Wadden en slikken
9,Binnenwater,30,Water
10,Buitenwater,30,Water
11,Loessgebied,11,Loessgebied
12,Gebieden met Tertiaire en oudere afzettingen,12,Gebieden met Tertiaire en oudere afzettingen
13,"Stuwwallen, gestuwde keileem en door stromend landijs gemodelleerde ruggen en dalen",13,"Stuwwallen, gestuwde keileem en door stromend landijs gemodelleerde ruggen en dalen"
