value,description,value_rcl,description_rcl
0,Western strip of raster no longer NL,,
1,Riviervlakte en beekdalen,1,Riviervlakte en beekdalen
2,"Pleistocene zandgebieden, boven 0 m. NAP",2,Pleistocene zandgebieden
3,Strandwallen en lage duinen,3,Strandwallen en lage duinen
4,Wadden en slikken,4,Wadden en slikken
5,Kwelders en riviervlakten,5,Kwelders en riviervlakten
6,Gebieden met kwelderwallen en -ruggen,6,Gebieden met kwelderwallen en -ruggen
7,Veengebied,7,Veengebied
8,"Pleistocene zandgebieden, beneden 16 en 0 m. -NAP",2,Pleistocene zandgebieden
9,Rivierduinen,9,Rivierduinen
10,Strandvlakten en duinvalleien,10,Strandvlakten en duinvalleien
11,"Pleistocene zandgebieden, beneden 16 m. -NAP",2,Pleistocene zandgebieden
12,Binnenwater,30,Water
13,Buitenland,,
14,Loessgebied,14,Loessgebied
15,Gebieden met Tertiaire en oudere afzettingen,15,Gebieden met Tertiaire en oudere afzettingen
16,"Stuwwallen, gestuwde keileem en door stromend landijs gemodelleerde ruggen en dalen",16,"Stuwwallen, gestuwde keileem en door stromend landijs gemodelleerde ruggen en dalen"
17,Buitenwater,30,Water
