value,description,value_rcl,description_rcl
0,non-nature areas,22,non-nature areas
93,,22,non-nature areas
62,Kwelder,1,nagenoeg natuurlijke eenheid
91,Zee,1,nagenoeg natuurlijke eenheid
96,Stuivend duin,1,nagenoeg natuurlijke eenheid
57,Moeras,2,begeleid natuurlijke eenheid
63,Afgesloten zoete zeearmen,2,begeleid natuurlijke eenheid
84,Iepen-Essenwoud,2,begeleid natuurlijke eenheid
94,Dynamisch duinlandschap,2,begeleid natuurlijke eenheid
1,Dennenbossen op kalkarme (land)duinen,3,bosgemeenschap
4,Loofbossen op arme zandgronden,3,bosgemeenschap
13,Beekbegeleidende loofbossen,3,bosgemeenschap
15,Loofbossen op lemen en kalkrijke zandgronden,3,bosgemeenschap
34,Loofbossen op kalkrijke bodems,3,bosgemeenschap
35,Loofbossen op arme zandgronden,3,bosgemeenschap
48,Broekbossen op zure venen,3,bosgemeenschap
61,Loofbossen op klei- en zavelgronden,3,bosgemeenschap
85,Broekbossen op laagveen,3,bosgemeenschap
86,Loofbossen op kalkrijke (zee)duinen,3,bosgemeenschap
7,Overige Natuurbossen,4,bosvervangingsgemeenschap
49,Eiken-hakhout,4,bosvervangingsgemeenschap
68,Park- en stinse bos,4,bosvervangingsgemeenschap
71,Grienden & essen/elzenhakhout,4,bosvervangingsgemeenschap
90,Middenbos,4,bosvervangingsgemeenschap
39,Natte heide,5,"natte heide, hoogveen en natte duinvalleien"
58,Hoogveen,5,"natte heide, hoogveen en natte duinvalleien"
72,Natte duinvalleien,5,"natte heide, hoogveen en natte duinvalleien"
89,Hoogveenvennen,5,"natte heide, hoogveen en natte duinvalleien"
28,Heide met struweel en bos,6,droge heide en duinen
38,"Droge, open heide",6,droge heide en duinen
69,Open duin,6,droge heide en duinen
73,Overige heiden,6,droge heide en duinen
74,Duinstruweel,6,droge heide en duinen
82,Stuifzanden,6,droge heide en duinen
20,Jonge verlanding,7,verlandingsvegetaties
32,Oude riet ruigten,7,verlandingsvegetaties
87,Brakwater-(verlanding),7,verlandingsvegetaties
40,Natte schraallanden,8,moerashooiland
83,Veenmosrietlanden en trilvenen,8,moerashooiland
6,Glanshaverhooiland,9,bloemrijk grasland en droog schraalgrasland
8,Overige bloemrijke graslanden,9,bloemrijk grasland en droog schraalgrasland
14,Kamgrasweiden en zilverschoongraslanden,9,bloemrijk grasland en droog schraalgrasland
37,Zilte graslanden,9,bloemrijk grasland en droog schraalgrasland
42,Kalkgraslanden,9,bloemrijk grasland en droog schraalgrasland
43,Droge schraallanden,9,bloemrijk grasland en droog schraalgrasland
29,Vochtig schraal grasland,10,vochtig schraalgrasland
79,Veenweide,10,vochtig schraalgrasland
