value,description,value_rcl,description_rcl
0,0,20,Other
1,Naaldhout beneden 25 jaar,1,Naaldhout beneden 25 jaar
2,Naaldhout boven 25 jaar,2,Naaldhout boven 25 jaar
3,Eik beneden 40 jaar,3,Eik beneden 40 jaar
4,Eik boven 40 jaar,4,Eik boven 40 jaar
5,Populier beneden 10 jaar,5,Populier beneden 10 jaar
6,Populier boven 10 jaar,6,Populier boven 10 jaar
7,Overig loofhout beneden 40 jaar,7,Overig loofhout beneden 40 jaar
8,Overig loffhout boven 40 jaar,8,Overig loffhout boven 40 jaar
9,Beuk beneden 40 jaar,9,Beuk beneden 40 jaar
10,Beuk boven 40 jaar,10,Beuk boven 40 jaar
11,lep beneden 40 jaar,20,Other
12,lep boven 40 jaar,12,lep boven 40 jaar
13,riet,13,riet
15,Heide,15,Heide
16,Hakhout,16,Hakhout
17,Veen,17,Veen
18,Grienden,18,Grienden
19,Zandverstuiving en Duinen,19,Zandverstuiving en Duinen
