value,description,value_rcl,description_rcl
0,Non-agricultural land,19,non-agricultural land (geen landbouwgrond)
14,Natuurterreinen (incl. heide),19,non-agricultural land (geen landbouwgrond)
16,Agrarisch natuurmengsel,19,non-agricultural land (geen landbouwgrond)
21,"Bos, blijvend, met herplantplicht",19,non-agricultural land (geen landbouwgrond)
32,"Laanbomen/parkbomen, opzetters, open grond,",19,non-agricultural land (geen landbouwgrond)
34,"Bos- en haagplanten, open grond,",19,non-agricultural land (geen landbouwgrond)
67,"Tijdelijk onbeteelde grond, anders dan voor publieke werken",19,non-agricultural land (geen landbouwgrond)
70,Onbeteelde grond vanwege een teeltverbod/ontheffing,19,non-agricultural land (geen landbouwgrond)
74,"Laanbomen/parkbomen, spillen, open grond,",19,non-agricultural land (geen landbouwgrond)
86,"Sloot, grenzend aan beheerde akkerrand",19,non-agricultural land (geen landbouwgrond)
119,"Tijdelijk onbeteelde grond, i.v.m. publieke werken",19,non-agricultural land (geen landbouwgrond)
125,Bos zonder herplantplicht,19,non-agricultural land (geen landbouwgrond)
126,"Laanbomen/parkbomen, spillen, pot- en containerveld,",19,non-agricultural land (geen landbouwgrond)
134,"Laanbomen/parkbomen, opzetters, pot- en containerveld,",19,non-agricultural land (geen landbouwgrond)
152,"Bos- en haagplanten, pot- en containerveld,",19,non-agricultural land (geen landbouwgrond)
154,"Laanbomen/parkbomen, onderstammen, open grond,",19,non-agricultural land (geen landbouwgrond)
171,Bos (SBL-regeling),19,non-agricultural land (geen landbouwgrond)
172,Bos (set aside regeling),19,non-agricultural land (geen landbouwgrond)
201,Woudbomen met korte omlooptijd (excl. Wilgenhakhout),19,non-agricultural land (geen landbouwgrond)
209,Wilgenhakhout,19,non-agricultural land (geen landbouwgrond)
220,"Laanbomen/parkbomen, onderstammen, pot- en containerveld,",19,non-agricultural land (geen landbouwgrond)
267,"Bufferstrook, rand (inclusief eventuele oevervegetatie)",19,non-agricultural land (geen landbouwgrond)
268,"Wikke, bonte",19,non-agricultural land (geen landbouwgrond)
1,"Grasland, natuurlijk. Areaal met een natuurbeheertype dat overwegend voor landbouwactiviteiten-GLB wordt gebruikt",2,grassland (grasland)
2,"Grasland, blijvend",2,grassland (grasland)
6,"Grasland, tijdelijk",2,grassland (grasland)
11,"Grasland, natuurlijk. Hoofdfunctie landbouw.",2,grassland (grasland)
13,Engels raaigras,2,grassland (grasland)
15,"Grasland, natuurlijk. Hoofdfunctie natuur.",2,grassland (grasland)
26,"Rietzwenkgras, anders dan voor industriegras",2,grassland (grasland)
30,Luzerne,2,grassland (grasland)
33,"Overige groenbemesters, niet-vlinderbloemige-",2,grassland (grasland)
36,Graszoden,2,grassland (grasland)
58,"Rand, grenzend aan bouwland, hoofdzakelijk bestaand uit tijdelijk gras",2,grassland (grasland)
72,"Rand, grenzend aan bouwland, hoofdzakelijk bestaand uit blijvend gras",2,grassland (grasland)
95,Italiaans raaigras,2,grassland (grasland)
99,Graszaad,2,grassland (grasland)
111,"Rand, grenzend aan blijvend grasland of een blijvende teelt, hoofdzakelijk bestaand uit tijdelijk gras",2,grassland (grasland)
120,"Rand, grenzend aan blijvend grasland of een blijvende teelt, hoofdzakelijk bestaand uit blijvend gras",2,grassland (grasland)
142,"Klaver, rode",2,grassland (grasland)
163,"Klaver, witte",2,grassland (grasland)
213,Veldbeemdgras,2,grassland (grasland)
217,Westerwolds raaigras,2,grassland (grasland)
247,"Rietzwenkgras, industriegras",2,grassland (grasland)
277,"Klaver, incarnaat",2,grassland (grasland)
282,"Klaver, Alexandrijnse",2,grassland (grasland)
291,Naaldaar (Setaria),2,grassland (grasland)
294,Festulolium,2,grassland (grasland)
309,Klaverzaad,2,grassland (grasland)
5,"Mais, snij-",21,maize (mais)
27,"Mais, korrel-",21,maize (mais)
73,"Mais, corncob mix",21,maize (mais)
75,"Mais, suiker-",21,maize (mais)
188,"Mais, energie-",21,maize (mais)
4,"Tarwe, winter-",20,cereals (granen)
19,"Gerst, zomer-",20,cereals (granen)
29,"Tarwe, zomer-",20,cereals (granen)
35,Triticale,20,cereals (granen)
38,Rogge (geen snijrogge),20,cereals (granen)
49,"Gerst, winter-",20,cereals (granen)
59,Japanse haver,20,cereals (granen)
97,Haver,20,cereals (granen)
108,Overige akkerbouwgewassen,20,cereals (granen)
130,Overige granen,20,cereals (granen)
178,Soedangras/Sorghum,20,cereals (granen)
183,Spelt,20,cereals (granen)
226,Franse boekweit,20,cereals (granen)
230,Quinoa,20,cereals (granen)
250,Teff,20,cereals (granen)
9,"Aardappelen, consumptie",22,potatoes (aardappelen)
10,"Aardappelen, poot NAK",22,potatoes (aardappelen)
18,"Aardappelen, zetmeel",22,potatoes (aardappelen)
25,"Aardappelen, poot TBM",22,potatoes (aardappelen)
156,"Aardappelen, bestrijdingsmaatregel AM",22,potatoes (aardappelen)
8,"Kroten/rode bieten, productie",28,vegetables (groenten)
28,"Knolselderij, productie",28,vegetables (groenten)
31,"Uien, poot- en plant- (incl. sjalotten)",28,vegetables (groenten)
37,"Winterpeen, productie",28,vegetables (groenten)
40,"Waspeen, productie",28,vegetables (groenten)
44,"Overige niet genoemde groenten, productie",28,vegetables (groenten)
45,"Uien, zaai-",28,vegetables (groenten)
50,"Rabarber, productie",28,vegetables (groenten)
51,"Aardbeien open grond, vermeerdering",28,vegetables (groenten)
53,"Aardbeien open grond, productie",28,vegetables (groenten)
57,"Asperges, oppervlakte die productie oplevert",28,vegetables (groenten)
60,"Asperges, zaden en opkweekmateriaal",28,vegetables (groenten)
81,"Sla, ijsberg-, productie",28,vegetables (groenten)
84,"Peterselie, productie",28,vegetables (groenten)
87,"Koolrabi, productie",28,vegetables (groenten)
88,"Andijvie, productie",28,vegetables (groenten)
91,"Prei, winter, productie",28,vegetables (groenten)
92,"Prei, zomer, productie",28,vegetables (groenten)
94,"Bloemkool, zomer, productie",28,vegetables (groenten)
96,"Aardbeien op stellingen, productie",28,vegetables (groenten)
98,"Aardbeien op stellingen, vermeerdering",28,vegetables (groenten)
100,"Rodekool, productie",28,vegetables (groenten)
102,"Witte kool, productie",28,vegetables (groenten)
105,Knoflook,28,vegetables (groenten)
106,"Paksoi, productie",28,vegetables (groenten)
109,"Spinazie, productie",28,vegetables (groenten)
110,"Sla; overig, productie",28,vegetables (groenten)
114,Cichorei,28,vegetables (groenten)
115,"Spitskool, productie",28,vegetables (groenten)
116,"Peulen, productie",28,vegetables (groenten)
121,"Broccoli, productie",28,vegetables (groenten)
123,"Pompoen, productie",28,vegetables (groenten)
129,"Witlofwortel, productie",28,vegetables (groenten)
131,"Kruiden, productie",28,vegetables (groenten)
135,"Spruitkool/spruitjes, productie",28,vegetables (groenten)
137,"Bloemkool, winter, productie",28,vegetables (groenten)
145,"Asperges, oppervlakte die nog geen productie oplevert",28,vegetables (groenten)
146,"Courgette, productie",28,vegetables (groenten)
147,"Bospeen, productie",28,vegetables (groenten)
153,"Pastinaak, productie",28,vegetables (groenten)
157,Schorseneren; productie,28,vegetables (groenten)
159,"Angelica, productie",28,vegetables (groenten)
164,"Overige niet genoemde groenten, zaden en opkweekmateriaal",28,vegetables (groenten)
168,"Aardbeien op stellingen, zaden en opkweekmateriaal",28,vegetables (groenten)
175,"Knolvenkel/venkel, productie",28,vegetables (groenten)
176,"Chinese kool, productie",28,vegetables (groenten)
181,"Selderij, bleek- en groen-, productie",28,vegetables (groenten)
186,Stoppelknollen,28,vegetables (groenten)
189,"Prei, winter, zaden en opkweekmateriaal",28,vegetables (groenten)
192,"Spinazie, zaden en opkweekmateriaal",28,vegetables (groenten)
193,"Uien, zilver-",28,vegetables (groenten)
