value,description,value_rcl,description_rcl
0,Other,2,Other
1,dike area 1,1,behind dike
2,dike area 2,1,behind dike
3,dike area 3,1,behind dike
4,dike area 4,1,behind dike
5,dike area 5,1,behind dike
6,dike area 6,1,behind dike
7,dike area 7,1,behind dike
8,dike area 8,1,behind dike
9,dike area 9,1,behind dike
10,dike area 10,1,behind dike
11,dike area 11,1,behind dike
12,dike area 12,1,behind dike
13,dike area 13,1,behind dike
14,dike area 14,1,behind dike
15,dike area 15,1,behind dike
16,dike area 16,1,behind dike
17,dike area 17,1,behind dike
18,dike area 18,1,behind dike
19,dike area 19,1,behind dike
20,dike area 20,1,behind dike
21,dike area 21,1,behind dike
22,dike area 22,1,behind dike
23,dike area 23,1,behind dike
24,dike area 24,1,behind dike
25,dike area 25,1,behind dike
26,dike area 26,1,behind dike
27,dike area 27,1,behind dike
28,dike area 28,1,behind dike
29,dike area 29,1,behind dike
30,dike area 30,1,behind dike
31,dike area 31,1,behind dike
32,dike area 32,1,behind dike
33,dike area 33,1,behind dike
34,dike area 34,1,behind dike
35,dike area 35,1,behind dike
36,dike area 36,1,behind dike
37,dike area 37,1,behind dike
38,dike area 38,1,behind dike
39,dike area 39,1,behind dike
40,dike area 40,1,behind dike
41,dike area 41,1,behind dike
42,dike area 42,1,behind dike
43,dike area 43,1,behind dike
44,dike area 44,1,behind dike
45,dike area 45,1,behind dike
46,dike area 46,1,behind dike
47,dike area 47,1,behind dike
48,dike area 48,1,behind dike
49,dike area 49,1,behind dike
50,dike area 50,1,behind dike
51,dike area 51,1,behind dike
52,dike area 52,1,behind dike
53,dike area 53,1,behind dike
54,dike area 54,1,behind dike
55,dike area 55,1,behind dike
56,dike area 56,1,behind dike
57,dike area 57,1,behind dike
58,dike area 58,1,behind dike
59,dike area 59,1,behind dike
60,dike area 60,1,behind dike
61,dike area 61,1,behind dike
62,dike area 62,1,behind dike
63,dike area 63,1,behind dike
64,dike area 64,1,behind dike
65,dike area 65,1,behind dike
66,dike area 66,1,behind dike
67,dike area 67,1,behind dike
68,dike area 68,1,behind dike
69,dike area 69,1,behind dike
70,dike area 70,1,behind dike
71,dike area 71,1,behind dike
72,dike area 72,1,behind dike
73,dike area 73,1,behind dike
74,dike area 74,1,behind dike
75,dike area 75,1,behind dike
76,dike area 76,1,behind dike
77,dike area 77,1,behind dike
78,dike area 78,1,behind dike
79,dike area 79,1,behind dike
80,dike area 80,1,behind dike
81,dike area 81,1,behind dike
82,dike area 82,1,behind dike
83,dike area 83,1,behind dike
84,dike area 84,1,behind dike
85,dike area 85,1,behind dike
86,dike area 86,1,behind dike
87,dike area 87,1,behind dike
88,dike area 88,1,behind dike
89,dike area 89,1,behind dike
90,dike area 90,1,behind dike
91,dike area 91,1,behind dike
92,dike area 92,1,behind dike
93,dike area 93,1,behind dike
94,dike area 94,1,behind dike
95,dike area 95,1,behind dike
96,dike area 96,1,behind dike
97,dike area 97,1,behind dike
98,dike area 98,1,behind dike
99,dike area 99,1,behind dike
100,dike area 100,1,behind dike
101,dike area 101,1,behind dike
104,dike area 102,1,behind dike
105,dike area 103,1,behind dike
106,dike area 104,1,behind dike
108,dike area 105,1,behind dike
109,dike area 106,1,behind dike
110,dike area 107,1,behind dike
113,dike area 108,1,behind dike
115,dike area 109,1,behind dike
116,dike area 110,1,behind dike
121,dike area 111,1,behind dike
123,dike area 112,1,behind dike
124,dike area 113,1,behind dike
125,dike area 114,1,behind dike
