value,description,value_rcl,description_rcl
0,Other,99,Other
1,A01.01,1,A01
61,A01.02,1,A01
75,A01.03,1,A01
76,A01.04,1,A01
2,A02.01,2,A02
62,A02.02,2,A02
3,L01.01,3,L01
4,L01.02,3,L01
5,L01.03,3,L01
6,L01.05,3,L01
7,L01.06,3,L01
8,L01.07,3,L01
9,L01.08,3,L01
10,L01.09,3,L01
11,L01.11,3,L01
12,L01.13,3,L01
13,L01.14,3,L01
14,L01.15,3,L01
15,L01.16,3,L01
63,L01.10,3,L01
78,L01.04,3,L01
16,L02.01,4,L02
17,L02.02,4,L02
18,L02.03,4,L02
19,N01.01,5,N01
20,N01.02,5,N01
21,N01.04,5,N01
69,N01.03,5,N01
22,N03.01,6,N03
23,N04.02,7,N04
24,N04.03,7,N04
25,N04.04,7,N04
70,N04.01,7,N04
26,N05.01,8,N05
27,N05.02,8,N05
28,N06.01,9,N06
29,N06.02,9,N06
30,N06.03,9,N06
31,N06.04,9,N06
32,N06.05,9,N06
33,N06.06,9,N06
34,N07.01,10,N07
35,N07.02,10,N07
36,N08.01,11,N08
37,N08.02,11,N08
38,N08.03,11,N08
39,N08.04,11,N08
40,N09.01,12,N09
41,N10.01,13,N10
42,N10.02,13,N10
43,N11.01,14,N11
44,N12.01,15,N12
45,N12.02,15,N12
46,N12.04,15,N12
47,N12.05,15,N12
48,N12.06,15,N12
66,N12.03,15,N12
49,N13.01,16,N13
50,N13.02,16,N13
51,N14.02,17,N14
52,N14.03,17,N14
67,N14.01,17,N14
53,N15.01,18,N15
54,N15.02,18,N15
55,N16.03,19,N16
56,N16.04,19,N16
57,N17.02,20,N17
58,N17.03,20,N17
59,N17.04,20,N17
60,N17.06,20,N17
68,N17.05,20,N17
77,N17.01,20,N17
64,L03.01,99,Other
65,N02.01,22,N02
71,A12.01,99,Other
74,A12.02,99,Other
72,L04.01,99,Other
73,A11.02,99,Other
