value,description,value_rcl,description_rcl
1,N16.01,1,N16
21,N16.02,1,N16
37,N16.03,1,N16
38,N16.04,1,N16
2,N06.05,2,N06
10,N06.04,2,N06
20,N06.01,2,N06
39,N06.06,2,N06
57,N06.03,2,N06
59,N06.02,2,N06
3,N12.05,3,N12
6,N12.02,3,N12
19,N12.04,3,N12
22,N12.03,3,N12
25,N12.06,3,N12
26,N12.01,3,N12
4,N15.02,4,N15
34,N15.01,4,N15
5,N11.01,5,N11
7,N04.02,7,N04
28,N04.01,7,N04
33,N04.03,7,N04
65,N04.04,7,N04
8,N10.02,8,N10
15,N10.01,8,N10
9,N03.01,9,N03
11,N00.01,10,N00
63,N00.02,10,N00
12,N14.03,11,N14
17,N14.02,11,N14
27,N14.01,11,N14
13,N07.01,12,N07
60,N07.02,12,N07
14,N05.01,13,N05
31,N05.02,13,N05
16,N17.02,15,N17
18,N17.03,15,N17
35,N17.04,15,N17
66,N17.05,15,N17
67,N17.06,15,N17
23,N13.01,16,N13
32,N13.02,16,N13
24,N01.03,17,N01
30,N01.01,17,N01
40,N01.02,17,N01
58,N01.04,17,N01
29,N09.01,19,N09
41,L01.02,20,L01
42,L01.01,20,L01
43,L01.04,20,L01
44,L01.03,20,L01
45,L01.07,20,L01
46,L01.05,20,L01
47,L01.16,20,L01
48,L01.08,20,L01
49,L01.09,20,L01
50,L01.11,20,L01
54,L01.10,20,L01
55,L01.06,20,L01
61,L01.13,20,L01
62,L01.15,20,L01
79,L01.14,20,L01
52,L02.01,21,L02
53,L02.02,21,L02
56,L02.03,21,L02
51,L03.01,99,Other
72,L04.01,99,Other
68,A01.01,31,A01
69,A01.02,31,A01
70,A02.01,32,A02
71,A02.02,32,A02
74,A11.02,33,A11
73,A12.01,34,A12
36,N08.03,35,N08
76,N08.02,35,N08
77,N08.01,35,N08
78,N08.04,35,N08
64,N02.01,40,N02
0,Other,99,Other
