value,description,value_rcl,description_rcl
0,Other,9,Other
1,Overig zoekgebied,1,Landschapzoekgebied
15,Landschapszoekgebied Zeeland 2019,1,Landschapzoekgebied
16, ,1,Landschapzoekgebied
17,Provincie Limburg,1,Landschapzoekgebied
2,Zuidelijk Westerkwartier,2,"Zuidelijk Westerkwartier, Gorecht, Westerwolder & Middag Humsterland"
3,Gorecht,2,"Zuidelijk Westerkwartier, Gorecht, Westerwolder & Middag Humsterland"
4,Westerwolde,2,"Zuidelijk Westerkwartier, Gorecht, Westerwolder & Middag Humsterland"
5,Middag Humsterland,2,"Zuidelijk Westerkwartier, Gorecht, Westerwolder & Middag Humsterland"
6,Groene Ontwikkelzone,3,Groene Ontwikkelzone & Weidevogelgebied
7,Weidevogelgebied,3,Groene Ontwikkelzone & Weidevogelgebied
8,Binnenduinrand,4,Binnenduinrand
9,Binnenduinrand met zandwallen en schurvelingen,4,Binnenduinrand
10,Droogmakerij,5,Droogmakerij
11,Kleipolders,6,Kleipolders
12,Kleipolders met zandwallen en schurvelingen,6,Kleipolders
13,Veenweidegebied,7,Veenweide
14,Veenweidegebied met veenputten,7,Veenweide
