value,description,value_rcl,description_rcl
1,grass (gras),2,grassland (grasland)
23,gras in bebouwd gebied,2,grassland (grasland)
2,maize (mais),21,maize (mais)
3,potatoes (aardappelen),22,potatoes (aardappelen)
4,beetroot (bieten),23,beetroot (bieten)
5,cereals (granen),20,cereals (granen)
6,other crops (overige landbouwgewassen),25,other crops (overige landbouwgewassen)
24,kale grond in bebouwd buitengebied,26,bare soil (kale grond)
8,greenhouses (glastuinbouw),9,greenhouses (glastuinbouw)
9,fruits (boomgaard),8,horticulture/fruits (boomgaard)
10,flower bulbs (bollen),24,flower bulbs (bloembollen)
11,loofbos,4,deciduous forest (loofbos)
20,loofbos in bebouwd gebied,4,deciduous forest (loofbos)
22,bos met dichte bebouwing,4,deciduous forest (loofbos)
12,naaldbos,5,coniferous forest (naaldbos)
21,naaldbos in bebouwd gebied,5,coniferous forest (naaldbos)
13,heath (droge heide),10,heathlands (droge heide)
14,overig open begroeid natuurgebied,14,nature areas (natuurgebied)
15,kale grond in natuurgebied,14,nature areas (natuurgebied)
16,zoet water,1,water
17,zout water,1,water
18,stedelijk bebouwd gebied,7,urban (bebouwd gebied)
19,bebouwing in buitengebied,7,urban (bebouwd gebied)
25,hoofdwegen en spoorwegen,7,urban (bebouwd gebied)
26,bebouwing in agrarisch gebied,7,urban (bebouwd gebied)
0,no data,7,urban (bebouwd gebied)
30,???,7,urban (bebouwd gebied)
