value,description,value_rcl,description_rcl
0,no data,7,urban (bebouwd gebied)
1,grass (grasland),2,grassland (grasland)
7,akker,3,arable land (akker)
9,fruits / orchard (boomgaard),8,horticulture/fruits (boomgaard)
11,deciduous forest (loofbos),4,deciduous forest (loofbos)
12,coniferous forest (naaldbos),5,coniferous forest (naaldbos)
14,overig open vegetatie,16,other/unknown (overig)
15,kale bodem,26,bare soil (kale bodem)
16,fresh water (zoet water),1,water
17,salt water (zout water),1,water
18,bebouwing,7,urban (bebouwd gebied)
25,infrastructuur,7,urban (bebouwd gebied)
255,,7,urban (bebouwd gebied)
