value,description,value_rcl,description_rcl
1,agricultural grassland (agrarisch gras),2,grassland (grasland)
23,grass in built-up area (gras in primair bebouwd gebied),2,grassland (grasland)
28,gras in secundair bebouwd gebied,2,grassland (grasland)
45,natuurgraslanden,2,grassland (grasland)
2,maize (mais),21,maize (mais)
3,potatoes (aardappelen),22,potatoes (aardappelen)
4,beetroot (bieten),23,beetroot (bieten)
5,cereals (granen),20,cereals (granen)
6,other agricultural crops (overige landbouwgewassen),25,other crops (overige landbouwgewassen)
24,bare soil in built-up rural area (kale grond in bebouwd buitengebied),26,bare soil (kale grond)
8,greenhouses (glastuinbouw),9,greenhouses (glastuinbouw)
9,fruits / orchard (boomgaard),8,horticulture/fruits (boomgaard)
61,boomwekerijen,8,horticulture/fruits (boomgaard)
62,fruitwekerijen,8,horticulture/fruits (boomgaard)
10,flower bulbs (bloembollen),24,flower bulbs (bloembollen)
11,deciduous forest (loofbos),4,deciduous forest (loofbos)
20,bos in primair bebouwd gebied,4,deciduous forest (loofbos)
22,bos in secundair bebouwd gebied,4,deciduous forest (loofbos)
12,coniferous forest (naaldbos),5,coniferous forest (naaldbos)
36,heath (heide),10,heathlands (droge heide)
37,heathlands with minor grass infl (matig vergraste heide),10,heathlands (droge heide)
38,heathlands with major grass infl (sterk vergraste heide),10,heathlands (droge heide)
30,salt marshes (kwelders),17,salt marshes (kwelders)
16,fresh water (zoet water),1,water
17,salt water (zout water),1,water
18,continuous urban areas (bebouwing in primair bebouwd gebied),7,urban (bebouwd gebied)
19,buildings in rural areas (bebouwing in secundair bebouwd gebied),7,urban (bebouwd gebied)
25,main roads and railways (hoofdwegen en spoorwegen),7,urban (bebouwd gebied)
26,bebouwing in het buitengebied,7,urban (bebouwd gebied)
31,beaches and dunes (open zand in kustgebied),12,"beaches, dunes, sand"
32,duinen met lage vegetatie,12,"beaches, dunes, sand"
33,duinen met hoge vegetatie,12,"beaches, dunes, sand"
34,heath on dunes (duin-heide),12,"beaches, dunes, sand"
35,open stuifzand en/ of rivierzand,12,"beaches, dunes, sand"
39,raised bog (hoogveen),11,raised bog (hoogveen)
40,forest in raised bog (bos in hoogveengebied),11,raised bog (hoogveen)
41,miscellaneous swamp vegetation (overige moerasvegetatie),18,swamp (moeras)
42,reed swamp (rietvegetatie),18,swamp (moeras)
43,forest in swamp area (bos in boerasgebied),18,swamp (moeras)
0,no data,,
255,,,
