value,description,value_rcl,description_rcl
0,non-nature areas,2,non-nature areas
1,nature area 1,1,nature area
2,nature area 2,1,nature area
3,nature area 3,1,nature area
4,nature area 4,1,nature area
5,nature area 5,1,nature area
6,nature area 6,1,nature area
7,nature area 7,1,nature area
8,nature area 8,1,nature area
9,nature area 9,1,nature area
10,nature area 10,1,nature area
11,nature area 11,1,nature area
12,nature area 12,1,nature area
13,nature area 13,1,nature area
14,nature area 14,1,nature area
15,nature area 15,1,nature area
16,nature area 16,1,nature area
17,nature area 17,1,nature area
18,nature area 18,1,nature area
19,nature area 19,1,nature area
