value,description,value_rcl,description_rcl
0,no trees,1,no trees
1,1% tree cover density,20,1-20% tree cover density
2,2% tree cover density,20,1-20% tree cover density
3,3% tree cover density,20,1-20% tree cover density
4,4% tree cover density,20,1-20% tree cover density
5,5% tree cover density,20,1-20% tree cover density
6,6% tree cover density,20,1-20% tree cover density
7,7% tree cover density,20,1-20% tree cover density
8,8% tree cover density,20,1-20% tree cover density
9,9% tree cover density,20,1-20% tree cover density
10,10% tree cover density,20,1-20% tree cover density
11,11% tree cover density,20,1-20% tree cover density
12,12% tree cover density,20,1-20% tree cover density
13,13% tree cover density,20,1-20% tree cover density
14,14% tree cover density,20,1-20% tree cover density
15,15% tree cover density,20,1-20% tree cover density
16,16% tree cover density,20,1-20% tree cover density
17,17% tree cover density,20,1-20% tree cover density
18,18% tree cover density,20,1-20% tree cover density
19,19% tree cover density,20,1-20% tree cover density
20,20% tree cover density,20,1-20% tree cover density
21,21% tree cover density,40,21-40% tree cover density
22,22% tree cover density,40,21-40% tree cover density
23,23% tree cover density,40,21-40% tree cover density
24,24% tree cover density,40,21-40% tree cover density
25,25% tree cover density,40,21-40% tree cover density
26,26% tree cover density,40,21-40% tree cover density
27,27% tree cover density,40,21-40% tree cover density
28,28% tree cover density,40,21-40% tree cover density
29,29% tree cover density,40,21-40% tree cover density
30,30% tree cover density,40,21-40% tree cover density
31,31% tree cover density,40,21-40% tree cover density
32,32% tree cover density,40,21-40% tree cover density
33,33% tree cover density,40,21-40% tree cover density
34,34% tree cover density,40,21-40% tree cover density
35,35% tree cover density,40,21-40% tree cover density
36,36% tree cover density,40,21-40% tree cover density
37,37% tree cover density,40,21-40% tree cover density
38,38% tree cover density,40,21-40% tree cover density
39,39% tree cover density,40,21-40% tree cover density
40,40% tree cover density,40,21-40% tree cover density
41,41% tree cover density,60,41-60% tree cover density
42,42% tree cover density,60,41-60% tree cover density
43,43% tree cover density,60,41-60% tree cover density
44,44% tree cover density,60,41-60% tree cover density
45,45% tree cover density,60,41-60% tree cover density
46,46% tree cover density,60,41-60% tree cover density
47,47% tree cover density,60,41-60% tree cover density
48,48% tree cover density,60,41-60% tree cover density
49,49% tree cover density,60,41-60% tree cover density
50,50% tree cover density,60,41-60% tree cover density
51,51% tree cover density,60,41-60% tree cover density
52,52% tree cover density,60,41-60% tree cover density
53,53% tree cover density,60,41-60% tree cover density
54,54% tree cover density,60,41-60% tree cover density
55,55% tree cover density,60,41-60% tree cover density
56,56% tree cover density,60,41-60% tree cover density
57,57% tree cover density,60,41-60% tree cover density
58,58% tree cover density,60,41-60% tree cover density
59,59% tree cover density,60,41-60% tree cover density
60,60% tree cover density,60,41-60% tree cover density
61,61% tree cover density,80,61-80% tree cover density
62,62% tree cover density,80,61-80% tree cover density
63,63% tree cover density,80,61-80% tree cover density
64,64% tree cover density,80,61-80% tree cover density
65,65% tree cover density,80,61-80% tree cover density
66,66% tree cover density,80,61-80% tree cover density
67,67% tree cover density,80,61-80% tree cover density
68,68% tree cover density,80,61-80% tree cover density
69,69% tree cover density,80,61-80% tree cover density
70,70% tree cover density,80,61-80% tree cover density
71,71% tree cover density,80,61-80% tree cover density
72,72% tree cover density,80,61-80% tree cover density
73,73% tree cover density,80,61-80% tree cover density
74,74% tree cover density,80,61-80% tree cover density
75,75% tree cover density,80,61-80% tree cover density
76,76% tree cover density,80,61-80% tree cover density
77,77% tree cover density,80,61-80% tree cover density
78,78% tree cover density,80,61-80% tree cover density
79,79% tree cover density,80,61-80% tree cover density
80,80% tree cover density,80,61-80% tree cover density
81,81% tree cover density,100,81-100% tree cover density
82,82% tree cover density,100,81-100% tree cover density
83,83% tree cover density,100,81-100% tree cover density
84,84% tree cover density,100,81-100% tree cover density
85,85% tree cover density,100,81-100% tree cover density
86,86% tree cover density,100,81-100% tree cover density
87,87% tree cover density,100,81-100% tree cover density
88,88% tree cover density,100,81-100% tree cover density
89,89% tree cover density,100,81-100% tree cover density
90,90% tree cover density,100,81-100% tree cover density
91,91% tree cover density,100,81-100% tree cover density
92,92% tree cover density,100,81-100% tree cover density
93,93% tree cover density,100,81-100% tree cover density
94,94% tree cover density,100,81-100% tree cover density
95,95% tree cover density,100,81-100% tree cover density
96,96% tree cover density,100,81-100% tree cover density
97,97% tree cover density,100,81-100% tree cover density
98,98% tree cover density,100,81-100% tree cover density
99,99% tree cover density,100,81-100% tree cover density
100,100% tree cover density,100,81-100% tree cover density
254,areas outside of the Netherlands,,
255,,,
