value,description,value_rcl,description_rcl
101,bebouwing,7,urban (bebouwd gebied)
102,bebouwing,7,urban (bebouwd gebied)
107,kas/warenhuis,7,urban (bebouwd gebied)
200,autosnelweg,7,urban (bebouwd gebied)
208,lokale weg,7,urban (bebouwd gebied)
210,hoofdweg,7,urban (bebouwd gebied)
220,hoofdweg,7,urban (bebouwd gebied)
230,hoofdweg,7,urban (bebouwd gebied)
234,hoofdweg,7,urban (bebouwd gebied)
240,hoofdweg,7,urban (bebouwd gebied)
244,lokale weg,7,urban (bebouwd gebied)
250,hoofdweg,7,urban (bebouwd gebied)
280,regionale weg,7,urban (bebouwd gebied)
287,lokale weg,7,urban (bebouwd gebied)
290,regionale weg,7,urban (bebouwd gebied)
300,regionale weg,7,urban (bebouwd gebied)
310,regionale weg,7,urban (bebouwd gebied)
314,lokale weg,7,urban (bebouwd gebied)
320,regionale weg,7,urban (bebouwd gebied)
324,lokale weg,7,urban (bebouwd gebied)
330,regionale weg,7,urban (bebouwd gebied)
334,lokale weg,7,urban (bebouwd gebied)
340,overige weg of straat,7,urban (bebouwd gebied)
341,ged. verhard / onverhard,7,urban (bebouwd gebied)
343,ged. verhard / onverhard,7,urban (bebouwd gebied)
346,overige weg of straat,7,urban (bebouwd gebied)
347,overige weg of straat,7,urban (bebouwd gebied)
353,overige weg of straat,7,urban (bebouwd gebied)
360,fietspad,7,urban (bebouwd gebied)
390,overige weg of straat,7,urban (bebouwd gebied)
530,begraafplaats,7,urban (bebouwd gebied)
502,loofbos,4,deciduous forest (loofbos)
508,populierenopstand,4,deciduous forest (loofbos)
505,naaldbos,5,coniferous forest (naaldbos)
506,gemengd bos,6,mixed forest (gemengd bos)
507,griend,6,mixed forest (gemengd bos)
520,bouwland,3,arable land (bouwland)
521,grasland,2,grassland (grasland)
522,boomgaard,8,horticulture/fruits (boomgaard)
523,boomwekerij,8,horticulture/fruits (boomgaard)
531,fruitwekerij,8,horticulture/fruits (boomgaard)
524,heide,10,heathlands (heide)
525,zand,12,sand (zand)
610,water,1,water
611,water,1,water
621,droogvallende grond,1,water
629,steenglooing / krib,1,water
651,steiger,1,water
654,dok,1,water
526,overig gebruik,16,other/unknown (overig/onbekend)
0,other,16,other/unknown (overig/onbekend)
