value,description,value_rcl,description_rcl
0,,16,other/unknown (overig/onbekend)
1,boomteelt,8,horticulture/fruits (boomgaard)
2,bouwland,3,arable land (bouwland)
3,bouwland:akkerbouw,3,arable land (bouwland)
4,bouwland:bollenteelt,24,flower bulbs (bloembollen)
5,bouwland:braakliggend,13,fallow (braakland)
6,bouwland:vollegrondsteelt,3,arable land (bouwland)
7,duin,12,"beaches, dunes, sand"
8,duin:gesloten duinvegetatie,12,"beaches, dunes, sand"
9,duin:open duinvegetatie,12,"beaches, dunes, sand"
10,fruitteelt,8,horticulture/fruits (boomgaard)
11,fruitteelt:hoogstam boomgaarden,8,horticulture/fruits (boomgaard)
12,fruitteelt:klein fruit,8,horticulture/fruits (boomgaard)
13,fruitteelt:laagstam boomgaarden,8,horticulture/fruits (boomgaard)
14,fruitteelt:wijngaarden,8,horticulture/fruits (boomgaard)
15,gemengd bos,6,mixed forest (gemengd bos)
16,grasland agrarisch,2,grassland agricultural (grasland agrarisch)
17,grasland overig,25,grassland other (grasland overig)
18,groenvoorziening,16,other/unknown (overig/onbekend)
19,groenvoorziening:bodembedekkers,25,grassland other (grasland overig)
20,groenvoorziening:bosplantsoen,6,mixed forest (gemengd bos)
21,groenvoorziening:gras- en kruidachtigen,25,grassland other (grasland overig)
22,groenvoorziening:heesters,16,other/unknown (overig/onbekend)
23,groenvoorziening:planten,16,other/unknown (overig/onbekend)
24,groenvoorziening:struikrozen,16,other/unknown (overig/onbekend)
25,heide,10,heathlands (heide)
26,houtwal,16,other/unknown (overig/onbekend)
27,kwelder,17,salt marshes (kwelders)
28,loofbos,4,deciduous forest (loofbos)
29,loofbos:griend en hakhout,4,deciduous forest (loofbos)
30,moeras,18,swamp (moeras)
31,naaldbos,6,mixed forest (gemengd bos)
32,rietland,18,swamp (moeras)
33,struiken,16,other/unknown (overig/onbekend)
34,transitie,16,other/unknown (overig/onbekend)
