value,description,value_rcl,description_rcl
0,,16,other/unknown (overig/onbekend)
1,11100: Continuous urban fabric (S.L. > 80%),7,urban (bebouwd gebied)
2,11210: Discontinuous dense urban fabric (S.L. 50% - 80%),7,urban (bebouwd gebied)
3,11220: Discontinuous medium density urban fabric (S.L. 30% - 50%),7,urban (bebouwd gebied)
4,11230: Discontinuous low density urban fabric (S.L. 10% - 30%),7,urban (bebouwd gebied)
5,11240: Discontinuous very low density urban fabric (S.L. < 10%),7,urban (bebouwd gebied)
6,11300: Isolated structures,7,urban (bebouwd gebied)
7,"12100: Industrial, commercial, public, military and private units",7,urban (bebouwd gebied)
8,12300: Port areas,7,urban (bebouwd gebied)
9,12400: Airports,7,urban (bebouwd gebied)
10,13100: Mineral extraction and dump sites,7,urban (bebouwd gebied)
11,13300: Construction sites,7,urban (bebouwd gebied)
12,13400: Land without current use,13,fallow (braakland)
13,14100: Green urban areas,15,recreational (recreatie)
14,14200: Sports and leisure facilities,15,recreational (recreatie)
15,21000: Arable land (annual crops),3,arable land (bouwland)
16,23000: Pastures,2,grassland (grasland)
17,31000: Forests,6,mixed forest (gemengd bos)
18,32000: Herbaceous vegetation associations,13,fallow (braakland)
19,33000: Open spaces with little or no vegetations,13,fallow (braakland)
20,40000: Wetlands,16,other/unknown (overig/onbekend)
21,50000: Water,16,other/unknown (overig/onbekend)
22,12220: Other roads and associated land,7,urban (bebouwd gebied)
23,12210: Fast transit roads and associated land,7,urban (bebouwd gebied)
24,12230: Railways and associated land,7,urban (bebouwd gebied)
25,22000: Permanent crops,3,arable land (bouwland)
