OBJECTID,grondsoort,FREQUENCY,COUNT_gron
1,- - - - - -,6247,6247
2,- - - - - Klei,4,4
3,- - - - - Klei-Zand,2,2
4,- - - - - veen,2,2
5,- - - - - Veen-Zand,5,5
6,- - - -  -,16,16
7,- - -  - ,74,74
8,- - -  - Klei,1,1
9,- - -  - veen,1,1
10,- - -  - zeeklei,7,7
11,- - -   ,2,2
12,- - -   - -,8,8
13,- - -   -  ,36,36
14,- - -     ,27,27
15,- - - Klei-Veen - Klei-Veen,5,5
16,- - - Klei-Zand - Klei-Zand,8,8
17,- - - Klei - -,2,2
18,- - - Klei - Klei,44,44
19,- - - Veen-Zand - Veen-Zand,27,27
20,- - - Veen - -,2,2
21,- - - Veen - Veen,1,1
22,- - - Zand - Zand,24,24
23,- -  - - -,136,136
24,- -  -  -,4,4
25,- - klei - - -,93,93
26,- - klei  - ,18,18
27,- - klei   ,5,5
28,- - Klei Klei - Klei,2,2
29,- - zand - - -,2085,2085
30,- - zand - -  ,21,21
31,- - zand -  -,103,103
32,- - zand -   ,3,3
33,- - zand - zand -,2,2
34,- - zand  - ,79,79
35,- - zand   ,3,3
36,- - zand   - -,1,1
37,- - zand   -  ,15,15
38,- - zand   - Zand,2,2
39,- - zand zand - -,8,8
40,- - zand zand -  ,17,17
41,- - zand zand - Zand,2,2
42,- - zand zand  Zand,2,2
43,-  - - - -,98,98
44,-  - -  -,1828,1828
45,-  - -   ,6,6
46,-  - -  Klei,5,5
47,-  - -  Klei-Zand,2,2
48,-  - -  veen,3,3
49,-  - -  Veen-Zand,6,6
50,-  - -  zeeklei,1,1
51,-  - - klei -,37,37
52,-  - - veen -,23,23
53,-  -  - ,14,14
54,-  -  - Klei,8,8
55,-  -  - zeeklei,6,6
56,-  -   ,1599,1599
57,-  -   -,6,6
58,-  -    ,27,27
59,-  -    -,40,40
60,-  -     ,14,14
61,-  -    veen,7,7
62,-  -   klei,16,16
63,-  -   Klei,121,121
64,-  -   klei ,1,1
65,-  -   klei veen,2,2
66,-  -   veen,98,98
67,-  -   zand,13,13
68,-  -   Zand,19,19
69,-  -   zeeklei,503,503
70,-  -  klei ,6,6
71,-  -  Klei ,16,16
72,-  -  klei Klei,5,5
73,-  -  Klei Klei,5,5
74,-  -  klei veen,2,2
75,-  -  veen ,4,4
76,-  -  veen veen,1,1
77,-  -  zand ,4,4
78,-  -  Zand ,5,5
79,-  - Klei-Veen  Klei-Veen,9,9
80,-  - Klei-Zand  Klei-Zand,14,14
81,-  - Klei  Klei,37,37
82,-  - Veen-Zand  Veen-Zand,23,23
83,-  - veen  -,1,1
84,-  - veen  veen,51,51
85,-  - veen klei -,1,1
86,-  - veen veen -,2,2
87,-  - zand  -,3,3
88,-  - Zand  Zand,38,38
89,-   - - -,108,108
90,-   - - - -,121,121
91,-   -  ,3,3
92,-   -  -,522,522
93,-   -  - ,141,141
94,-   -   ,40,40
95,-   -   - -,1,1
96,-   - Zand -,4,4
97,-    - ,6,6
98,-     ,99,99
99,-     -,6,6
100,-      ,9,9
101,-      -,3,3
102,-       ,5,5
103,-     veen,2,2
104,-     Zand ,10,10
105,-    Zand ,11,11
106,-   zand - - -,24,24
107,-   zand - zand -,7,7
108,-   zand  -,11,11
109,-   zand   ,2,2
110,-  klei - - -,2,2
111,-  klei -  ,1,1
112,-  klei -  -,378,378
113,-  klei -   ,168,168
114,-  klei -  Klei,10,10
115,-  klei -  Zand,8,8
116,-  klei - klei Klei,2,2
117,-  klei  - ,5,5
118,-  klei   ,468,468
119,-  klei   -,5,5
120,-  Klei   ,10,10
121,-  klei    ,2,2
122,-  klei    -,5,5
123,-  klei     ,38,38
124,-  klei   Klei,1,1
125,-  klei   Zand,9,9
126,-  klei   zeeklei,4,4
127,-  klei klei  ,1,1
128,-  klei klei  -,6,6
129,-  klei klei   ,8,8
130,-  klei klei  Klei,19,19
131,-  klei klei klei Klei,1,1
132,-  klei zand  Zand,11,11
133,-  veen - - -,9,9
134,-  veen -  -,114,114
135,-  veen - klei -,1,1
136,-  veen - veen -,4,4
137,-  veen   ,169,169
138,-  veen    ,2,2
139,-  veen    -,16,16
140,-  veen    veen,1,1
141,-  veen   klei ,1,1
142,-  veen  klei ,2,2
143,-  veen  veen ,1,1
144,-  veen PKB  ,2,2
145,-  veen PKB  -,98,98
146,-  veen veen  -,34,34
147,-  veen veen  veen,1,1
148,-  veen veen klei -,1,1
149,-  veen veen veen -,5,5
150,-  zand - - -,374,374
151,-  zand -  ,6,6
152,-  zand -  -,37358,37358
153,-  zand -   ,61,61
154,-  zand -  Zand,12,12
155,-  zand - zand -,1,1
156,-  zand  - ,16,16
157,-  zand   ,1242,1242
158,-  zand   -,7,7
159,-  Zand   ,17,17
160,-  zand   -  ,5,5
161,-  zand    ,13,13
162,-  zand    -,5,5
163,-  zand     ,93,93
164,-  zand  klei ,1,1
165,-  zand  Zand ,2,2
166,-  zand PKB  ,1,1
167,-  zand PKB  -,93,93
168,-  zand zand  ,9,9
169,-  zand zand  -,9,9
170,-  zand zand   ,8,8
171,-  zand zand  Zand,25,25
172,-  zand zand zand -,2,2
173,- Klei - - - -,27,27
174,- Klei - -   ,1,1
175,- klei - - klei -,86,86
176,- Klei -  - ,67,67
177,- Klei -  - Klei,1,1
178,- klei -   ,2,2
179,- Klei -   ,14,14
180,- Klei -   Klei,8,8
181,- klei -  klei ,36,36
182,- Klei -  Klei ,2649,2649
183,- Klei -  Klei Klei,565,565
184,- klei - veen klei veen,1,1
185,- Klei  -   ,6,6
186,- Klei klei -  -,28,28
187,- Klei klei -   ,25,25
188,- Klei klei -  Klei,1,1
189,- Klei klei - klei -,4,4
190,- Klei klei - klei  ,2,2
191,- Klei klei - klei Klei,4,4
192,- Klei Klei   ,11,11
193,- Klei klei klei klei ,1,1
194,- Klei klei klei klei Klei,4,4
195,- veen - - veen -,43,43
196,- Veen -  - klei,1,1
197,- Veen -  - veen,1,1
198,- veen -  veen ,5,5
199,- veen - veen veen veen,16,16
200,- Zand - -  -,25,25
201,- Zand -   ,3,3
202,- zand -  zand ,75,75
203,- Zand -  Zand ,436,436
204,- Zand - zand  -,2,2
205,- Zand  - - -,21,21
206,- Zand  -  -,13,13
207,- Zand  - Zand -,1,1
208,- Zand   - ,1,1
209,- Zand    ,5,5
210,- Zand   zand ,1,1
211,- Zand   Zand ,34,34
212,- Zand  zand  -,4,4
213,- Zand klei -   ,5,5
214,- Zand klei   ,1,1
215,- Zand klei  zand ,1,1
216,- Zand zand - - -,8,8
217,- Zand zand -  -,38,38
218,- Zand zand - zand -,12,12
219,- Zand zand zand  ,1,1
220,- Zand zand zand  -,3,3
221,- zeeklei -  - ,4,4
222,- zeeklei -  - veen,17,17
223,- zeeklei -  - zand,23,23
224,- zeeklei -  - zeeklei,352,352
225, - - - - -,2,2
226, - - - klei -,1,1
227, - -  - veen,192,192
228, - -   zeeklei,2,2
229, -  - - ,29,29
230, -  - - -,84110,84110
231, -  - - Klei,6,6
232, -  - - Klei-Zand,4,4
233, -  - - Zand,48,48
234, -  -  ,8,8
235, -  -  -,279,279
236, -  -  Zand,1,1
237, -  - klei -,5,5
238, -  - zand -,39,39
239, -  - Zand -,30,30
240, -   - ,4415,4415
241, -   - -,53,53
242, -   - zand,6,6
243, -   - zeeklei,7,7
244, -    ,261,261
245, -    -,14,14
246, -    - ,12,12
247, -    - -,12,12
248, -    -  ,68,68
249, -    - Zand,2,2
250, -     ,2,2
251, -      ,5,5
252, -     Zand,1,1
253, -    Zand,2,2
254, -   klei ,15,15
255, -   zand ,64,64
256, -   Zand ,98,98
257, -  Klei-Zand - Klei-Zand,105,105
258, -  Klei - -,5,5
259, -  Klei - Klei,208,208
260, -  Veen-Zand - Veen-Zand,82,82
261, -  Zand - ,1,1
262, -  Zand - -,33,33
263, -  zand -  ,1,1
264, -  zand - Zand,2,2
265, -  Zand - Zand,885,885
266, -  zand   ,1,1
267, -  zand  Zand,2,2
268, -  Zand  Zand,2,2
269, -  zand zand Zand,6,6
270, - Klei-Zand Klei-Zand - Klei-Zand,1,1
271, - klei - - -,4,4
272, - Klei - - -,1,1
273, - klei -  -,5,5
274, - klei  - ,1,1
275, - klei   ,1,1
276, - zand - - -,187,187
277, - Zand - - -,7,7
278, - zand -  -,62,62
279, - Zand -  ,1,1
280, - Zand -  -,6,6
281, - zand  - ,4,4
282, - zand   ,1,1
283, - Zand   ,3,3
284, - Zand   - -,1,1
285, - Zand Zand - Zand,2,2
286, - zand zand zand -,1,1
287,  - - - ,235,235
288,  - - - - -,7,7
289,  - - - -  ,31,31
290,  - - - - Zand,1,1
291,  - -  ,332,332
292,  - -  -,21,21
293,  - -  - ,3,3
294,  - -  - veen,1,1
295,  - -   -  ,32,32
296,  - -   - Zand,2,2
297,  - -     ,19,19
298,  - -   zand  ,3,3
299,  - -  Veen,34,34
300,  - -  Zand,14,14
301,  - - klei ,166,166
302,  - - klei -,7,7
303,  - - klei  ,1,1
304,  - - klei Klei,1,1
305,  - - veen ,318,318
306,  - - veen -,4,4
307,  - - Veen ,9,9
308,  - - Veen Veen,8,8
309,  - - Veen Zand,1,1
310,  - - zand ,187,187
311,  - - zand -,23,23
312,  - - zand -  ,3,3
313,  - - Zand - Zand,1,1
314,  - - zand   ,1,1
315,  -  - ,1014,1014
316,  -   ,1430,1430
317,  -   - ,1,1
318,  -    ,327,327
319,  -    -,12,12
320,  -    veen,15,15
321,  -    Veen,19,19
322,  -    Zand,16,16
323,  -   klei,1,1
324,  -   klei ,7,7
325,  -   veen,64,64
326,  -   Veen ,13,13
327,  -   zand,6,6
328,  -   zeeklei,12,12
329,  -  veen ,46,46
330,  -  zand ,4,4
331,  - klei - ,2,2
332,  - Klei - Klei,2,2
333,  - klei  ,43,43
334,  - Klei  ,6,6
335,  - klei  - ,2,2
336,  - Klei  Klei,3,3
337,  - klei  veen,7,7
338,  - klei klei ,10,10
339,  - PKB - ,4,4
340,  - PKB  ,57,57
341,  - PKB  -,9,9
342,  - PKB  Veen,11,11
343,  - PKB  Zand,7,7
344,  - PKB klei ,1,1
345,  - PKB veen ,5,5
346,  - PKB Veen ,10,10
347,  - PKB Veen Veen,1,1
348,  - PKB zand ,4,4
349,  - Veen -  ,8,8
350,  - Veen - Zand,1,1
351,  - veen  ,12,12
352,  - Veen  ,41,41
353,  - veen  veen,24,24
