index,num.trees,mtry,min.node.size,replace,sample.fraction,splitrule,RMSE,Rsquared
TRUE,500,49,1,FALSE,0.8,variance,0.7126420186984228,0.7263149308286827
TRUE,750,49,1,FALSE,0.8,variance,0.712816973478294,0.7262381570755475
TRUE,750,49,1,FALSE,0.63,variance,0.712909691153815,0.7260904171213405
TRUE,1000,49,1,FALSE,0.63,variance,0.7122902180632228,0.7266996723838338
TRUE,1000,49,3,FALSE,0.63,variance,0.7127017601557057,0.7264047331811442
TRUE,1000,49,1,TRUE,1,variance,0.7129847654271224,0.7263008588913626
FALSE,100,49,1,FALSE,0.5,variance,0.7148467633779337,0.7242989501991599
FALSE,100,49,3,FALSE,0.5,variance,0.7156368567420723,0.7238088740833113
FALSE,100,65,1,FALSE,0.5,variance,0.7158109047555214,0.7233511677996993
FALSE,100,65,3,FALSE,0.8,variance,0.7164211047101267,0.7228537098223626
FALSE,100,49,1,FALSE,0.8,variance,0.7166193905926856,0.7229300170098076
FALSE,100,49,1,FALSE,0.63,variance,0.7168094677243225,0.7229292945164871
FALSE,100,65,1,FALSE,0.63,variance,0.7170162636269862,0.7223825410354289
FALSE,100,78,3,TRUE,1,variance,0.7171995504695973,0.7222483283355415
FALSE,100,65,5,FALSE,0.63,variance,0.7177515796976712,0.7220198616064489
FALSE,100,65,3,FALSE,0.5,variance,0.7178544140918792,0.721590385526818
FALSE,100,49,5,TRUE,1,variance,0.7178748882692645,0.72223434477185
FALSE,100,65,5,FALSE,0.5,variance,0.7179904325682955,0.7218408425031022
FALSE,100,78,1,TRUE,1,variance,0.7180478388299982,0.7215258406557216
FALSE,100,49,3,FALSE,0.63,variance,0.7181291546366965,0.721822215306869
FALSE,100,49,5,FALSE,0.63,variance,0.7182992650711952,0.7218471344306878
FALSE,100,49,5,FALSE,0.5,variance,0.7184982256907939,0.7215486667804485
FALSE,100,65,1,TRUE,1,variance,0.7186836145513452,0.7211891187765294
FALSE,100,65,1,FALSE,0.8,variance,0.7187217379181627,0.720955901539664
FALSE,100,78,5,FALSE,0.63,variance,0.718775246442751,0.7209887733724554
FALSE,100,49,1,TRUE,1,variance,0.7188133336734098,0.7214510046078754
FALSE,100,49,5,FALSE,0.8,variance,0.7188227810820196,0.7214169736844313
FALSE,100,65,3,FALSE,0.63,variance,0.7190126227305316,0.7208629443493904
FALSE,100,78,1,FALSE,0.5,variance,0.7192208317286385,0.7204743034406476
FALSE,100,65,5,FALSE,0.8,variance,0.7192232840831071,0.7208220871013893
FALSE,100,78,5,FALSE,0.5,variance,0.7192956526154339,0.7206309383669265
FALSE,100,49,3,TRUE,1,variance,0.7194206184582163,0.7210150393981114
FALSE,100,49,3,FALSE,0.8,variance,0.7195563560367044,0.7205722152901697
FALSE,100,78,3,FALSE,0.63,variance,0.7195758252368502,0.7202490337781253
FALSE,100,78,3,FALSE,0.8,variance,0.7195953484221234,0.7203788833226241
FALSE,100,65,5,TRUE,1,variance,0.7196646090888907,0.7206459468245503
FALSE,100,78,5,FALSE,0.8,variance,0.7206056431601728,0.7195110774697814
FALSE,100,78,1,FALSE,0.63,variance,0.7207126170054428,0.7192311307589919
FALSE,100,78,5,TRUE,1,variance,0.7209199684095322,0.7193382585987794
FALSE,100,78,3,FALSE,0.5,variance,0.7210145030015034,0.7190728318275296
FALSE,100,65,3,TRUE,1,variance,0.7213265044020379,0.7192561778283786
FALSE,100,78,1,FALSE,0.8,variance,0.7219695388901582,0.7183190244869819
FALSE,100,14,1,FALSE,0.8,variance,0.726614586706137,0.7166615314159842
FALSE,100,14,3,FALSE,0.5,variance,0.7268437162169435,0.7167234423449957
FALSE,100,14,1,FALSE,0.5,variance,0.7279192828042508,0.7157051210462461
FALSE,100,14,1,FALSE,0.63,variance,0.7280332141951291,0.715648171676047
FALSE,100,14,3,FALSE,0.63,variance,0.7280824215443606,0.7156225400113245
FALSE,100,14,1,TRUE,1,variance,0.7289107735103098,0.7149604582674414
FALSE,100,14,3,TRUE,1,variance,0.7291380107038862,0.7150845967755187
FALSE,100,14,5,TRUE,1,variance,0.7296674496493377,0.7147775132901109
FALSE,100,14,3,FALSE,0.8,variance,0.7304349620585777,0.7135980541861652
FALSE,100,14,5,FALSE,0.5,variance,0.7314083337393562,0.7130434435467796
FALSE,100,14,5,FALSE,0.63,variance,0.7316944203727525,0.7128348313498678
FALSE,100,14,5,FALSE,0.8,variance,0.7320520055130232,0.7124967044005328
